round,oracle_reward,oracle_cumulative,ucb1_reward,ucb1_cumulative,ucb1_price,ucb1_regret,ucb1_cumulative_regret
119,0.5,29.0,0.0,28.800000000000008,0.5,0.5,0.20000000000000073
120,0.5,29.5,0.2,29.000000000000007,0.2,0.3,0.5000000000000007
121,0.5,30.0,0.4,29.400000000000006,0.4,0.09999999999999998,0.6000000000000006
122,0.0,30.0,0.0,29.400000000000006,0.9,0.0,0.6000000000000006
123,0.0,30.0,0.6,30.000000000000007,0.6,-0.6,6.661338147750939e-16
124,0.0,30.0,0.0,30.000000000000007,0.8,0.0,6.661338147750939e-16
125,0.0,30.0,0.4,30.400000000000006,0.4,-0.4,-0.39999999999999936
126,0.5,30.5,0.0,30.400000000000006,0.6,0.5,0.10000000000000064
127,0.5,31.0,0.3,30.700000000000006,0.3,0.2,0.30000000000000066
128,0.0,31.0,0.2,30.900000000000006,0.2,-0.2,0.10000000000000064
129,0.5,31.5,0.1,31.000000000000007,0.1,0.4,0.5000000000000007
130,0.0,31.5,0.7,31.700000000000006,0.7,-0.7,-0.1999999999999993
131,0.0,31.5,0.0,31.700000000000006,0.7,0.0,-0.1999999999999993
132,0.0,31.5,0.0,31.700000000000006,0.4,0.0,-0.1999999999999993
133,0.0,31.5,0.0,31.700000000000006,0.5,0.0,-0.1999999999999993
134,0.5,32.0,0.0,31.700000000000006,1.0,0.5,0.3000000000000007
135,0.0,32.0,0.0,31.700000000000006,0.3,0.0,0.3000000000000007
136,0.5,32.5,0.8,32.50000000000001,0.8,-0.30000000000000004,6.661338147750939e-16
137,0.5,33.0,0.0,32.50000000000001,0.8,0.5,0.5000000000000007
138,0.0,33.0,0.0,32.50000000000001,0.9,0.0,0.5000000000000007
139,0.5,33.5,0.0,32.50000000000001,0.6,0.5,1.0000000000000007
140,0.5,34.0,0.2,32.70000000000001,0.2,0.3,1.3000000000000007
141,0.0,34.0,0.0,32.70000000000001,0.7,0.0,1.3000000000000007
142,0.0,34.0,0.1,32.80000000000001,0.1,-0.1,1.2000000000000006
143,0.0,34.0,0.4,33.20000000000001,0.4,-0.4,0.8000000000000006
144,0.0,34.0,0.0,33.20000000000001,0.8,0.0,0.8000000000000006
145,0.0,34.0,0.5,33.70000000000001,0.5,-0.5,0.3000000000000006
146,0.5,34.5,0.6,34.30000000000001,0.6,-0.09999999999999998,0.20000000000000062
147,0.5,35.0,0.2,34.500000000000014,0.2,0.3,0.5000000000000007
148,0.0,35.0,0.3,34.80000000000001,0.3,-0.3,0.20000000000000068
149,0.0,35.0,0.5,35.30000000000001,0.5,-0.5,-0.2999999999999993
150,0.5,35.5,0.4,35.70000000000001,0.4,0.09999999999999998,-0.19999999999999934
151,0.0,35.5,0.0,35.70000000000001,0.9,0.0,-0.19999999999999934
152,0.0,35.5,0.6,36.30000000000001,0.6,-0.6,-0.7999999999999994
153,0.0,35.5,0.0,36.30000000000001,1.0,0.0,-0.7999999999999994
154,0.5,36.0,0.6,36.90000000000001,0.6,-0.09999999999999998,-0.8999999999999994
155,0.0,36.0,0.5,37.40000000000001,0.5,-0.5,-1.3999999999999995
156,0.5,36.5,0.0,37.40000000000001,0.6,0.5,-0.8999999999999995
157,0.5,37.0,0.5,37.90000000000001,0.5,0.0,-0.8999999999999995
158,0.0,37.0,0.4,38.30000000000001,0.4,-0.4,-1.2999999999999994
159,0.5,37.5,0.0,38.30000000000001,0.8,0.5,-0.7999999999999994
160,0.0,37.5,0.3,38.60000000000001,0.3,-0.3,-1.0999999999999994
161,0.5,38.0,0.1,38.70000000000001,0.1,0.4,-0.6999999999999994
162,0.5,38.5,0.0,38.70000000000001,0.5,0.5,-0.1999999999999994
163,0.5,39.0,0.2,38.90000000000001,0.2,0.3,0.10000000000000059
164,0.0,39.0,0.0,38.90000000000001,0.7,0.0,0.10000000000000059
165,0.5,39.5,0.4,39.30000000000001,0.4,0.09999999999999998,0.20000000000000057
166,0.0,39.5,0.0,39.30000000000001,0.9,0.0,0.20000000000000057
167,0.0,39.5,0.3,39.60000000000001,0.3,-0.3,-0.09999999999999942
168,0.0,39.5,0.0,39.60000000000001,0.6,0.0,-0.09999999999999942
169,0.5,40.0,0.0,39.60000000000001,0.4,0.5,0.4000000000000006
170,0.5,40.5,0.0,39.60000000000001,0.8,0.5,0.9000000000000006
171,0.0,40.5,0.2,39.80000000000001,0.2,-0.2,0.7000000000000006
172,0.5,41.0,0.0,39.80000000000001,1.0,0.5,1.2000000000000006
173,0.0,41.0,0.1,39.90000000000001,0.1,-0.1,1.1000000000000005
174,0.5,41.5,0.3,40.20000000000001,0.3,0.2,1.3000000000000005
175,0.0,41.5,0.5,40.70000000000001,0.5,-0.5,0.8000000000000005
176,0.5,42.0,0.5,41.20000000000001,0.5,0.0,0.8000000000000005
177,0.0,42.0,0.0,41.20000000000001,0.6,0.0,0.8000000000000005
178,0.5,42.5,0.7,41.90000000000001,0.7,-0.19999999999999996,0.6000000000000005
179,0.0,42.5,0.0,41.90000000000001,0.7,0.0,0.6000000000000005
180,0.0,42.5,0.5,42.40000000000001,0.5,-0.5,0.10000000000000053
181,0.0,42.5,0.0,42.40000000000001,0.9,0.0,0.10000000000000053
182,0.5,43.0,0.2,42.600000000000016,0.2,0.3,0.4000000000000005
183,0.5,43.5,0.3,42.90000000000001,0.3,0.2,0.6000000000000005
184,0.0,43.5,0.0,42.90000000000001,0.4,0.0,0.6000000000000005
185,0.5,44.0,0.8,43.70000000000001,0.8,-0.30000000000000004,0.3000000000000005
186,0.5,44.5,0.0,43.70000000000001,0.8,0.5,0.8000000000000005
187,0.5,45.0,0.0,43.70000000000001,0.5,0.5,1.3000000000000005
188,0.5,45.5,0.1,43.80000000000001,0.1,0.4,1.7000000000000006
189,0.0,45.5,0.3,44.10000000000001,0.3,-0.3,1.4000000000000006
190,0.0,45.5,0.0,44.10000000000001,0.6,0.0,1.4000000000000006
191,0.5,46.0,0.0,44.10000000000001,1.0,0.5,1.9000000000000006
192,0.5,46.5,0.0,44.10000000000001,0.7,0.5,2.4000000000000004
193,0.5,47.0,0.2,44.30000000000001,0.2,0.3,2.7
194,0.0,47.0,0.0,44.30000000000001,0.8,0.0,2.7
195,0.0,47.0,0.3,44.60000000000001,0.3,-0.3,2.4000000000000004
196,0.5,47.5,0.4,45.00000000000001,0.4,0.09999999999999998,2.5000000000000004
197,0.5,48.0,0.9,45.900000000000006,0.9,-0.4,2.1000000000000005
198,0.5,48.5,0.0,45.900000000000006,0.9,0.5,2.6000000000000005
199,0.5,49.0,0.0,45.900000000000006,0.5,0.5,3.1000000000000005
200,0.5,49.5,0.6,46.50000000000001,0.6,-0.09999999999999998,3.0000000000000004
201,0.0,49.5,0.0,46.50000000000001,0.4,0.0,3.0000000000000004
202,0.0,49.5,0.0,46.50000000000001,0.2,0.0,3.0000000000000004
203,0.5,50.0,0.0,46.50000000000001,0.6,0.5,3.5000000000000004
204,0.5,50.5,0.1,46.60000000000001,0.1,0.4,3.9000000000000004
205,0.0,50.5,0.3,46.900000000000006,0.3,-0.3,3.6000000000000005
206,0.0,50.5,0.0,46.900000000000006,0.9,0.0,3.6000000000000005
207,0.5,51.0,0.0,46.900000000000006,0.8,0.5,4.1000000000000005
208,0.0,51.0,0.0,46.900000000000006,0.7,0.0,4.1000000000000005
209,0.0,51.0,0.0,46.900000000000006,1.0,0.0,4.1000000000000005
210,0.5,51.5,0.0,46.900000000000006,0.5,0.5,4.6000000000000005
211,0.5,52.0,0.3,47.2,0.3,0.2,4.800000000000001
212,0.5,52.5,0.0,47.2,0.6,0.5,5.300000000000001
213,0.0,52.5,0.4,47.6,0.4,-0.4,4.9
214,0.5,53.0,0.0,47.6,0.8,0.5,5.4
215,0.0,53.0,0.1,47.7,0.1,-0.1,5.300000000000001
216,0.0,53.0,0.0,47.7,0.3,0.0,5.300000000000001
217,0.5,53.5,0.2,47.900000000000006,0.2,0.3,5.6000000000000005
218,0.5,54.0,0.0,47.900000000000006,0.9,0.5,6.1000000000000005
219,0.5,54.5,0.0,47.900000000000006,0.4,0.5,6.6000000000000005
220,0.5,55.0,0.5,48.400000000000006,0.5,0.0,6.6000000000000005
221,0.5,55.5,0.0,48.400000000000006,0.7,0.5,7.1000000000000005
222,0.0,55.5,0.0,48.400000000000006,0.6,0.0,7.1000000000000005
223,0.0,55.5,0.5,48.900000000000006,0.5,-0.5,6.6000000000000005
224,0.0,55.5,0.2,49.10000000000001,0.2,-0.2,6.4
225,0.0,55.5,0.5,49.60000000000001,0.5,-0.5,5.9
226,0.5,56.0,0.0,49.60000000000001,0.8,0.5,6.4
227,0.0,56.0,0.0,49.60000000000001,1.0,0.0,6.4
228,0.5,56.5,0.5,50.10000000000001,0.5,0.0,6.4
229,0.5,57.0,0.1,50.20000000000001,0.1,0.4,6.800000000000001
230,0.5,57.5,0.3,50.50000000000001,0.3,0.2,7.000000000000001
231,0.5,58.0,0.0,50.50000000000001,0.5,0.5,7.500000000000001
232,0.5,58.5,0.0,50.50000000000001,0.9,0.5,8.0
233,0.0,58.5,0.0,50.50000000000001,0.4,0.0,8.0
234,0.0,58.5,0.6,51.10000000000001,0.6,-0.6,7.4
235,0.5,59.0,0.0,51.10000000000001,0.6,0.5,7.9
236,0.0,59.0,0.2,51.30000000000001,0.2,-0.2,7.7
237,0.0,59.0,0.3,51.60000000000001,0.3,-0.3,7.4
238,0.5,59.5,0.8,52.400000000000006,0.8,-0.30000000000000004,7.1000000000000005
239,0.0,59.5,0.0,52.400000000000006,0.8,0.0,7.1000000000000005
240,0.5,60.0,0.7,53.10000000000001,0.7,-0.19999999999999996,6.9
241,0.5,60.5,0.7,53.80000000000001,0.7,-0.19999999999999996,6.7
242,0.5,61.0,0.7,54.500000000000014,0.7,-0.19999999999999996,6.5
243,0.0,61.0,0.7,55.20000000000002,0.7,-0.7,5.8
244,0.0,61.0,0.7,55.90000000000002,0.7,-0.7,5.1
245,0.5,61.5,0.0,55.90000000000002,0.7,0.5,5.6
246,0.0,61.5,0.0,55.90000000000002,0.7,0.0,5.6
247,0.5,62.0,0.0,55.90000000000002,0.1,0.5,6.1
248,0.5,62.5,0.3,56.20000000000002,0.3,0.2,6.3
249,0.5,63.0,0.5,56.70000000000002,0.5,0.0,6.3
250,0.0,63.0,0.2,56.90000000000002,0.2,-0.2,6.1
251,0.0,63.0,0.0,56.90000000000002,0.5,0.0,6.1
252,0.5,63.5,0.0,56.90000000000002,0.4,0.5,6.6
253,0.0,63.5,0.0,56.90000000000002,0.7,0.0,6.6
254,0.0,63.5,0.0,56.90000000000002,0.9,0.0,6.6
255,0.5,64.0,0.0,56.90000000000002,1.0,0.5,7.1
256,0.5,64.5,0.0,56.90000000000002,0.6,0.5,7.6
257,0.5,65.0,0.0,56.90000000000002,0.8,0.5,8.1
258,0.5,65.5,0.0,56.90000000000002,0.3,0.5,8.6
259,0.0,65.5,0.2,57.10000000000002,0.2,-0.2,8.4
260,0.5,66.0,0.0,57.10000000000002,0.5,0.5,8.9
261,0.5,66.5,0.6,57.700000000000024,0.6,-0.09999999999999998,8.8
262,0.0,66.5,0.0,57.700000000000024,0.6,0.0,8.8
263,0.5,67.0,0.0,57.700000000000024,0.8,0.5,9.3
264,0.5,67.5,0.0,57.700000000000024,0.1,0.5,9.8
265,0.5,68.0,0.0,57.700000000000024,0.4,0.5,10.3
266,0.5,68.5,0.0,57.700000000000024,0.7,0.5,10.8
267,0.5,69.0,0.0,57.700000000000024,0.9,0.5,11.3
268,0.0,69.0,0.3,58.00000000000002,0.3,-0.3,11.0
269,0.0,69.0,0.2,58.200000000000024,0.2,-0.2,10.8
270,0.5,69.5,0.0,58.200000000000024,1.0,0.5,11.3
271,0.5,70.0,0.3,58.50000000000002,0.3,0.2,11.5
272,0.5,70.5,0.6,59.10000000000002,0.6,-0.09999999999999998,11.4
273,0.5,71.0,0.0,59.10000000000002,0.6,0.5,11.9
274,0.5,71.5,0.0,59.10000000000002,0.5,0.5,12.4
275,0.5,72.0,0.0,59.10000000000002,0.8,0.5,12.9
276,0.5,72.5,0.2,59.300000000000026,0.2,0.3,13.200000000000001
