round,ucb_reward,pd_reward,ucb_cumulative,pd_cumulative,optimal_reward,optimal_cumulative,ucb_price,pd_price,ucb_produced,pd_produced,pd_lambda
172,0.0,0.0,39.80000000000001,36.900000000000006,0.5,41.0,1.0,0.5,True,True,0.0
173,0.1,0.4,39.90000000000001,37.300000000000004,0.0,41.0,0.1,0.4,True,True,0.0
174,0.3,0.0,40.20000000000001,37.300000000000004,0.5,41.5,0.3,0.6,True,True,0.0
175,0.5,0.3,40.70000000000001,37.6,0.0,41.5,0.5,0.3,True,True,0.0
176,0.5,0.0,41.20000000000001,37.6,0.5,42.0,0.5,0.6,True,True,0.0
177,0.0,0.4,41.20000000000001,38.0,0.0,42.0,0.6,0.4,True,True,0.0
178,0.7,0.0,41.90000000000001,38.0,0.5,42.5,0.7,0.8,True,True,0.0
179,0.0,0.3,41.90000000000001,38.3,0.0,42.5,0.7,0.3,True,True,0.0
180,0.5,0.0,42.40000000000001,38.3,0.0,42.5,0.5,0.4,True,True,0.0
181,0.0,0.0,42.40000000000001,38.3,0.0,42.5,0.9,0.3,True,True,0.0
182,0.2,0.0,42.600000000000016,38.3,0.5,43.0,0.2,0.8,True,True,0.0
183,0.3,0.0,42.90000000000001,38.3,0.5,43.5,0.3,0.8,True,True,0.0
184,0.0,0.4,42.90000000000001,38.699999999999996,0.0,43.5,0.4,0.4,True,True,0.0
185,0.8,0.6,43.70000000000001,39.3,0.5,44.0,0.8,0.6,True,True,0.0
186,0.0,0.7,43.70000000000001,40.0,0.5,44.5,0.8,0.7,True,True,0.0
187,0.0,0.6,43.70000000000001,40.6,0.5,45.0,0.5,0.6,True,True,0.0
188,0.1,0.6,43.80000000000001,41.2,0.5,45.5,0.1,0.6,True,True,0.0
189,0.3,0.4,44.10000000000001,41.6,0.0,45.5,0.3,0.4,True,True,0.0
190,0.0,0.2,44.10000000000001,41.800000000000004,0.0,45.5,0.6,0.2,True,True,0.0
191,0.0,0.8,44.10000000000001,42.6,0.5,46.0,1.0,0.8,True,True,0.0
192,0.0,0.0,44.10000000000001,42.6,0.5,46.5,0.7,0.8,True,True,0.0
193,0.2,0.0,44.30000000000001,42.6,0.5,47.0,0.2,0.6,True,True,0.0
194,0.0,0.0,44.30000000000001,42.6,0.0,47.0,0.8,0.4,True,True,0.0
195,0.3,0.4,44.60000000000001,43.0,0.0,47.0,0.3,0.4,True,True,0.0
196,0.4,0.0,45.00000000000001,43.0,0.5,47.5,0.4,0.7,True,True,0.0
197,0.9,0.8,45.900000000000006,43.8,0.5,48.0,0.9,0.8,True,True,0.0
198,0.0,0.0,45.900000000000006,43.8,0.5,48.5,0.9,0.8,True,True,0.0
199,0.0,0.0,45.900000000000006,43.8,0.5,49.0,0.5,0.7,True,True,0.0
200,0.6,0.6,46.50000000000001,44.4,0.5,49.5,0.6,0.6,True,True,0.0
201,0.0,0.0,46.50000000000001,44.4,0.0,49.5,0.4,0.2,True,True,0.0
