round,reward,cumulative_reward,price_selected,produced,lambda_value,distribution_changed
405,0.0,53.099999999999994,0.9,True,7.703308380170247,False
406,0.0,53.099999999999994,0.7,True,7.722282046131258,False
407,0.0,53.099999999999994,0.9,True,7.7412557120922685,False
408,0.5,53.599999999999994,0.5,True,7.760229378053279,False
409,0.7,54.3,0.7,True,7.77920304401429,False
410,0.0,54.3,1.0,True,7.7981767099753005,False
411,0.0,54.3,1.0,True,7.817150375936311,False
412,0.0,54.3,0.5,True,7.836124041897322,False
413,0.4,54.699999999999996,0.4,True,7.855097707858333,False
414,0.0,54.699999999999996,0.8,True,7.874071373819343,False
415,0.0,54.699999999999996,1.0,True,7.893045039780354,False
416,0.0,54.699999999999996,0.6,True,7.912018705741365,False
417,0.5,55.199999999999996,0.5,True,7.930992371702375,False
418,0.0,55.199999999999996,1.0,True,7.949966037663386,False
419,0.0,55.199999999999996,1.0,True,7.968939703624397,False
420,0.0,55.199999999999996,0.7,True,7.987913369585407,False
421,0.8,55.99999999999999,0.8,True,8.006887035546418,False
422,0.0,55.99999999999999,0.5,True,8.025860701507428,False
423,0.0,55.99999999999999,0.8,True,8.044834367468438,False
424,0.0,55.99999999999999,1.0,True,8.063808033429448,False
425,0.0,55.99999999999999,0.7,True,8.082781699390457,False
426,0.0,55.99999999999999,1.0,True,8.101755365351467,False
427,0.0,55.99999999999999,0.9,True,8.120729031312477,False
428,0.0,55.99999999999999,1.0,True,8.139702697273487,False
429,0.8,56.79999999999999,0.8,True,8.158676363234497,False
430,0.0,56.79999999999999,1.0,True,8.177650029195506,False
431,0.0,56.79999999999999,1.0,True,8.196623695156516,False
432,0.0,56.79999999999999,0.9,True,8.215597361117526,False
433,0.0,56.79999999999999,0.8,True,8.234571027078536,False
434,0.0,56.79999999999999,0.7,True,8.253544693039546,False
435,0.0,56.79999999999999,0.8,True,8.272518359000555,False
436,0.0,56.79999999999999,1.0,True,8.291492024961565,False
437,0.0,56.79999999999999,0.9,True,8.310465690922575,False
438,0.0,56.79999999999999,0.8,True,8.329439356883585,False
439,0.0,56.79999999999999,0.7,True,8.348413022844595,False
440,0.6,57.39999999999999,0.6,True,8.367386688805604,False
441,0.0,57.39999999999999,0.9,True,8.386360354766614,False
442,0.0,57.39999999999999,0.9,True,8.405334020727624,False
443,0.0,57.39999999999999,0.5,True,8.424307686688634,False
444,0.0,57.39999999999999,0.8,True,8.443281352649644,False
445,0.0,57.39999999999999,0.9,True,8.462255018610653,False
446,0.0,57.39999999999999,0.7,True,8.481228684571663,False
447,0.0,57.39999999999999,0.6,True,8.500202350532673,False
448,0.0,57.39999999999999,0.6,True,8.519176016493683,False
449,0.0,57.39999999999999,0.8,True,8.538149682454693,False
450,0.0,57.39999999999999,0.8,True,8.557123348415702,True
451,0.0,57.39999999999999,0.8,True,8.576097014376712,False
452,0.0,57.39999999999999,0.7,True,8.595070680337722,False
453,0.0,57.39999999999999,0.7,True,8.614044346298732,False
454,0.0,57.39999999999999,0.8,True,8.633018012259742,False
455,0.0,57.39999999999999,0.9,True,8.651991678220751,False
456,0.0,57.39999999999999,0.5,True,8.670965344181761,False
457,0.0,57.39999999999999,0.9,True,8.689939010142771,False
458,0.0,57.39999999999999,0.7,True,8.70891267610378,False
459,0.0,57.39999999999999,0.8,True,8.72788634206479,False
460,0.0,57.39999999999999,0.8,True,8.7468600080258,False
461,0.0,57.39999999999999,0.8,True,8.76583367398681,False
462,0.5,57.89999999999999,0.5,True,8.78480733994782,False
463,0.0,57.89999999999999,0.5,True,8.80378100590883,False
464,0.0,57.89999999999999,0.6,True,8.82275467186984,False
465,0.0,57.89999999999999,0.8,True,8.84172833783085,False
466,0.2,58.099999999999994,0.2,True,8.86070200379186,False
467,0.0,58.099999999999994,1.0,True,8.879675669752869,False
468,0.0,58.099999999999994,0.7,True,8.898649335713879,False
469,0.0,58.099999999999994,0.9,True,8.917623001674889,False
470,0.0,58.099999999999994,0.8,True,8.936596667635898,False
471,0.0,58.099999999999994,0.4,True,8.955570333596908,False
472,0.0,58.099999999999994,1.0,True,8.974543999557918,False
473,0.0,58.099999999999994,0.7,True,8.993517665518928,False
474,0.5,58.599999999999994,0.5,True,9.012491331479938,False
475,0.5,59.099999999999994,0.5,True,9.031464997440947,False
476,0.0,59.099999999999994,0.7,True,9.050438663401957,False
477,0.0,59.099999999999994,0.6,True,9.069412329362967,False
478,0.0,59.099999999999994,1.0,True,9.088385995323977,False
479,0.8,59.89999999999999,0.8,True,9.107359661284987,False
480,0.0,59.89999999999999,0.8,True,9.126333327245996,False
481,0.5,60.39999999999999,0.5,True,9.145306993207006,False
482,0.0,60.39999999999999,0.8,True,9.164280659168016,False
483,0.0,60.39999999999999,0.8,True,9.183254325129026,False
484,0.0,60.39999999999999,0.8,True,9.202227991090036,False
485,0.5,60.89999999999999,0.5,True,9.221201657051045,False
486,0.0,60.89999999999999,0.6,True,9.240175323012055,False
