round,reward,cumulative_reward,price_selected,produced,lambda_value,optimal_reward,optimal_cumulative
150,0.0,26.899999999999995,0.9,True,0.9550078533708476,0.5,35.5
151,0.5,27.399999999999995,0.5,True,0.9613324086911843,0.0,35.5
152,0.4,27.799999999999994,0.4,True,0.967656964011521,0.0,35.5
153,0.6,28.399999999999995,0.6,True,0.9739815193318577,0.0,35.5
154,0.0,28.399999999999995,1.0,True,0.9803060746521944,0.5,36.0
155,0.5,28.899999999999995,0.5,True,0.9866306299725311,0.0,36.0
156,0.0,28.899999999999995,0.8,True,0.9929551852928679,0.5,36.5
157,0.8,29.699999999999996,0.8,True,0.9992797406132046,0.5,37.0
158,0.5,30.199999999999996,0.5,True,1.0056042959335414,0.0,37.0
159,0.0,30.199999999999996,0.8,True,1.0119288512538782,0.5,37.5
160,0.6,30.799999999999997,0.6,True,1.018253406574215,0.0,37.5
161,0.0,30.799999999999997,0.7,True,1.0245779618945519,0.5,38.0
162,0.0,30.799999999999997,0.7,True,1.0309025172148887,0.5,38.5
163,0.7,31.499999999999996,0.7,True,1.0372270725352255,0.5,39.0
164,0.0,31.499999999999996,0.4,True,1.0435516278555623,0.0,39.0
165,0.0,31.499999999999996,0.9,True,1.0498761831758991,0.5,39.5
166,0.6,32.099999999999994,0.6,True,1.056200738496236,0.0,39.5
167,0.5,32.599999999999994,0.5,True,1.0625252938165728,0.0,39.5
168,0.0,32.599999999999994,0.2,True,1.0688498491369096,0.0,39.5
169,0.0,32.599999999999994,0.7,True,1.0751744044572464,0.5,40.0
170,0.0,32.599999999999994,0.8,True,1.0814989597775833,0.5,40.5
171,0.1,32.699999999999996,0.1,True,1.08782351509792,0.0,40.5
172,0.0,32.699999999999996,0.7,True,1.094148070418257,0.5,41.0
173,0.0,32.699999999999996,0.5,True,1.1004726257385937,0.0,41.0
174,0.0,32.699999999999996,0.8,True,1.1067971810589305,0.5,41.5
175,0.5,33.199999999999996,0.5,True,1.1131217363792674,0.0,41.5
176,0.0,33.199999999999996,0.8,True,1.1194462916996042,0.5,42.0
177,0.0,33.199999999999996,0.6,True,1.125770847019941,0.0,42.0
178,0.0,33.199999999999996,1.0,True,1.1320954023402778,0.5,42.5
179,0.4,33.599999999999994,0.4,True,1.1384199576606147,0.0,42.5
180,0.6,34.199999999999996,0.6,True,1.1447445129809515,0.0,42.5
181,0.0,34.199999999999996,0.4,True,1.1510690683012883,0.0,42.5
182,0.0,34.199999999999996,0.9,True,1.1573936236216251,0.5,43.0
183,0.9,35.099999999999994,0.9,True,1.163718178941962,0.5,43.5
184,0.0,35.099999999999994,0.5,True,1.1700427342622988,0.0,43.5
185,0.8,35.89999999999999,0.8,True,1.1763672895826356,0.5,44.0
186,0.0,35.89999999999999,0.9,True,1.1826918449029724,0.5,44.5
187,0.0,35.89999999999999,0.7,True,1.1890164002233092,0.5,45.0
188,0.0,35.89999999999999,0.7,True,1.195340955543646,0.5,45.5
189,0.5,36.39999999999999,0.5,True,1.2016655108639829,0.0,45.5
190,0.0,36.39999999999999,0.4,True,1.2079900661843197,0.0,45.5
191,0.0,36.39999999999999,0.9,True,1.2143146215046565,0.5,46.0
192,0.0,36.39999999999999,0.9,True,1.2206391768249933,0.5,46.5
193,0.0,36.39999999999999,0.8,True,1.2269637321453302,0.5,47.0
194,0.0,36.39999999999999,0.6,True,1.233288287465667,0.0,47.0
195,0.6,36.99999999999999,0.6,True,1.2396128427860038,0.0,47.0
196,0.8,37.79999999999999,0.8,True,1.2459373981063406,0.5,47.5
197,0.9,38.69999999999999,0.9,True,1.2522619534266775,0.5,48.0
198,0.0,38.69999999999999,0.9,True,1.2585865087470143,0.5,48.5
199,0.0,38.69999999999999,0.9,True,1.264911064067351,0.5,49.0
200,0.0,38.69999999999999,0.8,True,1.271235619387688,0.5,49.5
201,0.0,38.69999999999999,0.4,True,1.2775601747080247,0.0,49.5
202,0.0,38.69999999999999,0.5,True,1.2838847300283616,0.0,49.5
203,0.0,38.69999999999999,0.9,True,1.2902092853486984,0.5,50.0
204,0.0,38.69999999999999,0.8,True,1.2965338406690352,0.5,50.5
205,0.1,38.79999999999999,0.1,True,1.302858395989372,0.0,50.5
206,0.4,39.19999999999999,0.4,True,1.3091829513097089,0.0,50.5
