round,ucb_reward,pd_reward,ucb_cumulative,pd_cumulative,ucb_price,pd_price,ucb_produced,pd_produced,pd_lambda
447,0.5,0.4,70.99999999999997,90.90000000000005,0.5,0.4,True,True,0.0
448,0.5,0.4,71.49999999999997,91.30000000000005,0.5,0.4,True,True,0.0
449,0.5,0.0,71.99999999999997,91.30000000000005,0.5,0.5,True,True,0.0
450,0.0,0.0,71.99999999999997,91.30000000000005,0.5,0.5,True,True,0.0
451,0.4,0.0,72.39999999999998,91.30000000000005,0.4,0.5,True,True,0.0
452,0.2,0.4,72.59999999999998,91.70000000000006,0.2,0.4,True,True,0.0
453,0.0,0.4,72.59999999999998,92.10000000000007,0.5,0.4,True,True,0.0
454,0.0,0.0,72.59999999999998,92.10000000000007,0.3,0.5,True,True,0.0
455,0.4,0.5,72.99999999999999,92.60000000000007,0.4,0.5,True,True,0.0
456,0.0,0.3,72.99999999999999,92.90000000000006,0.8,0.3,True,True,0.0
457,0.0,0.0,72.99999999999999,92.90000000000006,0.9,0.5,True,True,0.0
458,0.0,0.0,72.99999999999999,92.90000000000006,1.0,0.4,True,True,0.0
459,0.0,0.5,72.99999999999999,93.40000000000006,0.4,0.5,True,True,0.0
460,0.1,0.5,73.09999999999998,93.90000000000006,0.1,0.5,True,True,0.0
461,0.2,0.0,73.29999999999998,93.90000000000006,0.2,0.5,True,True,0.0
462,0.7,0.3,73.99999999999999,94.20000000000006,0.7,0.3,True,True,0.0
463,0.7,0.3,74.69999999999999,94.50000000000006,0.7,0.3,True,True,0.0
464,0.0,0.0,74.69999999999999,94.50000000000006,0.7,0.4,True,True,0.0
465,0.7,0.0,75.39999999999999,94.50000000000006,0.7,0.5,True,True,0.0
466,0.7,0.2,76.1,94.70000000000006,0.7,0.2,True,True,0.0
467,0.0,0.0,76.1,94.70000000000006,0.7,0.6,True,True,0.0
468,0.0,0.4,76.1,95.10000000000007,0.7,0.4,True,True,0.0
469,0.0,0.0,76.1,95.10000000000007,0.7,0.5,True,True,0.0
470,0.0,0.0,76.1,95.10000000000007,0.6,0.5,True,True,0.0
471,0.5,0.0,76.6,95.10000000000007,0.5,0.3,True,True,0.0
472,0.5,0.0,77.1,95.10000000000007,0.5,0.8,True,True,0.0
473,0.5,0.4,77.6,95.50000000000007,0.5,0.4,True,True,0.0
474,0.0,0.3,77.6,95.80000000000007,0.5,0.3,True,True,0.0
475,0.3,0.3,77.89999999999999,96.10000000000007,0.3,0.3,True,True,0.0
476,0.0,0.4,77.89999999999999,96.50000000000007,0.4,0.4,True,True,0.0
477,0.2,0.0,78.1,96.50000000000007,0.2,0.4,True,True,0.0
478,0.1,0.0,78.19999999999999,96.50000000000007,0.1,0.7,True,True,0.0
479,0.3,0.4,78.49999999999999,96.90000000000008,0.3,0.4,True,True,0.0
480,0.5,0.0,78.99999999999999,96.90000000000008,0.5,0.5,True,True,0.0
481,0.5,0.3,79.49999999999999,97.20000000000007,0.5,0.3,True,True,0.0
482,0.0,0.4,79.49999999999999,97.60000000000008,0.5,0.4,True,True,0.0
483,0.0,0.5,79.49999999999999,98.10000000000008,0.8,0.5,True,True,0.0
484,0.0,0.0,79.49999999999999,98.10000000000008,0.9,0.5,True,True,0.0
485,0.0,0.3,79.49999999999999,98.40000000000008,1.0,0.3,True,True,0.0
486,0.3,0.4,79.79999999999998,98.80000000000008,0.3,0.4,True,True,0.0
487,0.7,0.4,80.49999999999999,99.20000000000009,0.7,0.4,True,True,0.0
488,0.0,0.5,80.49999999999999,99.70000000000009,0.7,0.5,True,True,0.0
489,0.2,0.0,80.69999999999999,99.70000000000009,0.2,0.5,True,True,0.0
490,0.6,0.0,81.29999999999998,99.70000000000009,0.6,0.5,True,True,0.0
491,0.0,0.0,81.29999999999998,99.70000000000009,0.6,0.5,True,True,0.0
492,0.3,0.5,81.59999999999998,100.20000000000009,0.3,0.5,True,True,0.0
493,0.7,0.4,82.29999999999998,100.6000000000001,0.7,0.4,True,True,0.0
494,0.0,0.5,82.29999999999998,101.1000000000001,0.7,0.5,True,True,0.0
495,0.4,0.5,82.69999999999999,101.6000000000001,0.4,0.5,True,True,0.0
496,0.4,0.4,83.1,102.0000000000001,0.4,0.4,True,True,0.0
