round,unconstrained_reward,unconstrained_cumulative,unconstrained_price,constrained_reward,constrained_cumulative,constrained_price,constrained_produced
368,0.6,73.60000000000001,0.6,0.0,11.399999999999999,0.0,False
369,0.0,73.60000000000001,0.6,0.0,11.399999999999999,0.0,False
370,0.3,73.9,0.3,0.0,11.399999999999999,0.0,False
371,0.4,74.30000000000001,0.4,0.0,11.399999999999999,0.0,False
372,0.4,74.70000000000002,0.4,0.0,11.399999999999999,0.0,False
373,0.0,74.70000000000002,0.8,0.0,11.399999999999999,0.0,False
374,0.1,74.80000000000001,0.1,0.0,11.399999999999999,0.0,False
375,0.7,75.50000000000001,0.7,0.0,11.399999999999999,0.0,False
376,0.0,75.50000000000001,0.7,0.0,11.399999999999999,0.0,False
377,0.3,75.80000000000001,0.3,0.0,11.399999999999999,0.0,False
378,0.4,76.20000000000002,0.4,0.0,11.399999999999999,0.0,False
379,0.6,76.80000000000001,0.6,0.0,11.399999999999999,0.0,False
380,0.0,76.80000000000001,0.6,0.0,11.399999999999999,0.0,False
381,0.0,76.80000000000001,0.9,0.0,11.399999999999999,0.0,False
382,0.2,77.00000000000001,0.2,0.0,11.399999999999999,0.0,False
383,0.4,77.40000000000002,0.4,0.0,11.399999999999999,0.0,False
384,0.5,77.90000000000002,0.5,0.0,11.399999999999999,0.0,False
385,0.5,78.40000000000002,0.5,0.0,11.399999999999999,0.0,False
386,0.0,78.40000000000002,0.5,0.0,11.399999999999999,0.0,False
387,0.0,78.40000000000002,0.3,0.0,11.399999999999999,0.0,False
388,0.4,78.80000000000003,0.4,0.0,11.399999999999999,0.0,False
389,0.0,78.80000000000003,0.7,0.0,11.399999999999999,0.0,False
390,0.0,78.80000000000003,1.0,0.0,11.399999999999999,0.0,False
391,0.0,78.80000000000003,0.4,0.0,11.399999999999999,0.0,False
392,0.2,79.00000000000003,0.2,0.0,11.399999999999999,0.0,False
393,0.0,79.00000000000003,0.6,0.0,11.399999999999999,0.0,False
394,0.1,79.10000000000002,0.1,0.0,11.399999999999999,0.0,False
395,0.0,79.10000000000002,0.8,0.0,11.399999999999999,0.0,False
